1,Clinical Foundations of Medicine,"The CFM course is comprised of several components: preceptor-led small groups (referred to as preceptor groups or molecules) which will focus on skill development in communication, physical exam and history presentation, individual and group practice sessions with simulated patients (SPs), volunteer outpatients and hospital inpatients, and didactic presentations on elements of the interview and physical exam.
CFM class is held on Monday, Wednesday and Thursday afternoons from 2-5 PM. Each student is assigned to a primary CFM afternoon on Monday or Wednesday for a weekly 3-hour preceptor group session. For most students, the preceptor group day follows your Colleges affiliation: Sabin and Thomas Colleges cluster on Mondays, and Nathans and Taussig Colleges cluster on Wednesdays.* Exceptions occur when a holiday (e.g. Labor Day) falls on a Monday or Wednesday, then those CFM groups may be reassigned to that Thursday. In addition, there are alternately required and optional events scheduled on Thursday afternoons, which are intended to reinforce or otherwise enhance your learning.","By the end of CFM, students should be able to:
1. Demonstrate effective health communication skills, which include: a) Active listening and non-verbal communication;
b) Conveying empathy and respect;
c) Managing emotions as they arise;
d) Eliciting patients’ unique perspectives and beliefs about their health;
e) Achieving an understanding of the patient’s illness in the context of her or his
current life circumstances; and
f) Taking steps to build an effective patient-doctor relationship.
2. Demonstrate how to utilize communication skills within patient-centered and relationship-centered frameworks of clinical care
3. Identify and utilize communication strategies to diminish barriers in cross-cultural medical encounters
4. Elicit a patient’s chief concern and develop a narrative thread about the concern, clarifying the nature of the symptom(s)
5. Elicit a patient’s past medical history, family history, social history, and appreciate the utility of the review of systems
6. Compose an effective written presentation of a patient history and be able to communicate this history orally to colleagues",Medicine,2015-2016,1,1/11/16,5/27/16,Complete
2,"Epidemiology, Ethics & the Health Care System","The goals address three of the major competency areas defined by the Accreditation Council for Graduate Medical Education (ACGME): Science and Practice of Medicine; Social Context of Medicine; and Professionalism. The third goal also addresses the ACGME competency area of Lifelong Learning. The unifying theme of the course is to think about individual patients in the context of the populations they are part of.   
The course consists of three units: 1) the Health Care System; 2) Ethics; and 3) Epidemiology. In the first unit, on the Health Care System, students will learn about the system level context in which they will care for patients. In the ethics unit, students will learn a framework for wrestling with ethical tensions between the needs of individual patients and population-based concerns. In the epidemiology unit, students will learn the science of studying the determinants of disease in populations.
","The overall goals of the course are:
1) To develop basic knowledge and understanding of:
a. epidemiologic methods and their application to clinical medicine, 
b. ethical principles that apply to clinical medicine and research, & 
c. health system related challenges you will encounter as physicians;
2) To explore selected areas of interest at the interface between public health and clinical medicine; and
3) To stimulate interest in being an effective advocate for improving health and health care for the populations of patients that you will serve.
",Medicine,2015-2016,1,1/11/16,6/10/16,In Progress
3,Human Anatomy - Scientific Foundations,"Anatomy is one of the foundations of medicine, and is a prerequisite for
many clinical specialties. We use a regional approach to teaching
anatomy. This is coordinated with dissection of the human body, which
we feel is essential for learning the details, the three-dimensional
relationships, and the anatomical variation necessary for a good grasp of
anatomy. Thus the course is broken into 3 parts – (1) thorax, abdomen,
pelvis, (2) limbs, and (3) head-&-neck. Within each part, lectures are
given on human gross anatomy (and embryology wherever relevant);
students dissect that region of the body; they receive relevant clinical
correlations; and they participate in TBL / small group activities, including
simulation center activities.","a. Demonstrate understanding of normal anatomy of the main regions of the
human body: thorax, abdomen and pelvis; back &limbs; and head & neck.
b. Demonstrate effective use of anatomical terminology.
c. Demonstrate good knowledge of 3D relationships of structures within the
human body.
d. Hone skills in problem-solving by relating symptoms to possible cause, or
tracing causes to possible symptoms.
e. Demonstrate an ability to present written and oral information clearly and
concisely under strict time constraints.
f. Demonstrate effective collaborative skills and professionalism.
Horizontal Strands obvious throughout the Anatomy course are: Embryology,
Human Development and Imaging.",Medicine,2015-2016,3,1/11/16,6/10/16,In Progress
4,Health Care Disparities - Interdisciplinary Medicine,"The HCD course is designed to help students understand the
social context of the patients they will care for while at medical school. The course is
an inquiry into the existence and reasons for medical health care disparities, questions
the meaning of culture and cultural competency, and explores the healthcare challenges
in the local Baltimore community.","1. Medical Students demonstrate improved awareness of the effect of social needs
and demands on care of patients.
- maps to LCME ED-7 Objective
- maps to JHUSOM Social Context of Medicine Objective
2. Medical Students demonstrate improved knowledge of existence of health care
disparities and the demographic influences on health care quality and
effectiveness ",Medicine,2015-2016,2,1/11/16,5/27/16,Complete
5,Health Promotion and Disease Prevention - Interdisciplinary Medicine,"This TIME Course is the anchor course for the Nutrition Horizontal Strand. This course explores the basic science, clinical science, treatment options, ethical considerations, and public health/public policy aspects of the obesity epidemic. Teaching modalities include lectures, small groups, panel discussions, clinical skills session, and a behavior change exercise. On-line obesity-related self-learning modules are used for the examination. ","By the end of the course, students will be able to:
• Discuss the etiology and pathogenesis of the obesity epidemic
• Describe how nutrition, physical activity and other lifestyle choices affect lifespan and quality of life
• Discuss the medical, ethical, and public health aspects of obesity
• Describe approaches to the treatment of obesity
• Discuss prevention in the context of nutrition, with particular emphasis on prevention of obesity
• Describe the effect different diets have on weight and cardiovascular risk factors
• Obtain a thorough nutritional history and describe how to conduct a motivational interview
• Develop a plan for personal health maximization, and identify aspects of their personal experiences that can be applied to patient education and management 
",Medicine,2015-2016,2,1/11/16,6/10/16,In Progress
6,Immunology I Fundamentals,"_ Offered for first year medical students.  The general content includes both basic and clinical immunology and is oriented towards human diseases involving the immune system. Lectures, small discussion groups, workshops and laboratory exercises are included.  ","_ Students will understand the complexity and diversity of immune responses.  
_ Students will understand the impact of genetic variation on normal and pathologic immune response.  
_ Students will understand the unique aspects of immune system gene expression and how that is similar or different than gene expression in other biological systems.  
_ Students will understand the mechanistic basis for immune-mediated disease.  
_ Students will understand the mechanisms by which the immune system is driven by and drives evolution of infectious disease.  
_ Students will understand the mechanisms of immune surveillance in control of neoplastic disease.  
_ Students will understand the mechanisms of autoimmune diseases
_ Students will understand the basis of allergy as well as clinical manifestations of allergic diseases
_ Students will understand both current standard pharmacological approaches as well as study some new immune based therapeutic approaches to disease treatment.
",Medicine,2015-2016,1,1/11/16,6/10/16,In Progress
7,Hematology & Oncology Fundamentals,"This course takes a broad look at hematology, building on prior presentation in immunology on cells of the immune system.  Because neoplastic hematology is also covered, and because students have not previously covered neoplasia in any detail, the course also includes an introduction to cancer.  It begins with a discussion of hematopoeisis and benign hematology, focusing on anemia, coagulation, and also covers benign leukocyte disorders and transfusion medicine.  This is followed by a section introducing basic principles of neoplasia often using other solid tumors as models, though these are not discussed at the level of detail covered later in other organ systems. This introduction to cancer leads to a detailed discussion of neoplastic hematology, encompassing leukemia, lymphoma and myeloma. Normal morphology of blood, bone marrow and lymph nodes is presented, to contrast with pathologic anatomy that is shown. Both the neoplastic and nonneoplastic sections of the course include material on pharmacology appropriate to treatment of the diseases discussed, and there is also some limited coverage of radiology and radiation therapy. Finally, the course closes with a discussion of and bone marrow transplantation. Core lecture material is supplemented by small group case discussions and virtual microscopy sessions that are primarily focused on reinforcing lecture material.","Course Learning Objectives:
1) Be aware of the mechanism and manifestations of diseases produced by abnormalities in the production, destruction or function of red blood cells, white blood cells and platelets.
2) Describe how blood clots; how disorders in the regulation of clotting can produce either hemorrhage or thrombosis; and how genetic factors impact the clinical manifestations of coagulation disorders.
3) Describe the principle mechanisms by which genetic changes can lead to cancer, how these interact with environmental factors to produce cancer, and how cultural and social factors can affect patients with cancer
4) Discuss the fundamentals of the host-tumor interaction, and the common clinical behaviors of solid tumors. 
5) Discuss the various therapeutic strategies used to kill cancer cells, and the basic ways to evaluate response to therapy.
6) Discuss the derivation, morphology, diagnostic features, and clinical behavior of common neoplasms of cells of the hematolymphoid system.
7) Be aware of indications for, and precautions taken for the appropriate administration of blood and blood products.
",Medicine,2015-2016,2,1/11/16,5/27/16,Complete
8,Dermatology Fundamentals,"The Dermatology Section of the Genes to Society course will expose students to a broad range of clinical disorders affecting the skin. There will be an emphasis on recognition of the phenotypic features of these disorders, as well as an understanding of their underlying genetic, histologic and immunologic basis, together with their epidemiologic profile in the general population. The Dermatology Section combines lectures, case studies, patient presentations, small group discussions as well as workshops. ","Students completing the Dermatology Section of Genes to Society should be able to:
A)    Define the normal structure and function of the skin as a basis for understanding health, disease, and treatment.
B)     Identify major disorders affecting skin, and their impact, emphasizing scientific foundations of diagnosis and treatment.
C)    Develop and demonstrate the core skills required of all physicians essential to effective medical problem solving, communication, and lifelong learning.
",Medicine,2015-2016,1,1/11/16,6/10/16,In Progress
9,"Brain, Mind, Behavior Fundamentals","BMB introduces the functions and dysfunctions of the mind, from the genes associated with dementia and schizophrenia to the social implications of chronic mental illness. The course begins after the introduction to neuroanatomical structures and moves through the mental functions of consciousness, cognition, emotion, behavior, the major disorders that can arise in each, and the therapeutic approaches (pharmacologic and otherwise) that address these disorders. Because there are no labs that can demonstrate the mind the way microscopic slides can demonstrate blood cells and microorganisms, the application of classroom knowledge takes place in a series of patient interview sessions with psychiatric inpatients from Johns Hopkins Hospital.","A) Describe the elements of human behavior
1. DEVELOPMENT & AGING: Describe the key principles and mechanisms that govern development and aging of the human mind and discuss their relationship to pediatric and adult mental health, disease, and recovery of function.
2. DRIVES: Differentiate the biological and psychological components of appetite, consumption, satiety, and choice in the motivated behaviors of sleep, feeding, and sex. 
3. CONDITIONING: Discuss the components of learned behavior from the perspectives of classical and operant conditioning; define stimulus, response, reinforcement, and extinction as applied to behavioral conditioning. 
",Medicine,2015-2016,3,1/11/16,5/27/16,Complete
10,Nervous System & Special Senses Fundamentals,"The NSS section is juxtaposed with the
“Brain, Mind, & Behavior” (BMB) section which incorporates Year 1 Psychiatry and is
responsible for Mental Functions content from Neuroscience and Neuropathology,
Neurophysiology, Neuropharmacology. BMB is to include normal and abnormal arousal
(wakefulness, sleep, coma, vegetative state, general anesthesia, etc.), attention
(normal and abnormal concentration and attention, perseveration, etc.), and cognition
(memory, language, spatial perception, motor praxis, executive function, amnesia,
aphasia, agnosia, apraxia, abulia, dementia, delirium). The BMB section will be
responsible for teaching the basic neuroscience, neuropathology, neurophysiology,
neuropharmacology, and neurodevelopment of these mental functions. Also excluded
from the NSS curriculum are visceral functions (swallowing and speech articulation;
bowel, bladder, and sexual function; cardiorespiratory, and neuroendocrine function), to
be covered in other organ sections during the GTS course. The NSS section flanks the
Pain Intersession which lasts for 4 days.","1. Describe the key functional domains of the human nervous system, detailing
their normal operations in health and their symptomatic clinical correlates in
disease.
2. Define the neurobiological structure and function of the nervous system,
including individual variation, as a basis for understanding health, disease, and
treatment, both now and in the future.
3. Identify Common, Catastrophic, and Clarifying disorders of the nervous system,
focusing on the scientific foundations underpinning their diagnosis and
treatment.
4. Apply core scientific principles to assessment of normal function and the
diagnosis and management of diseases affecting, interacting with, or influenced
by the nervous system.
5. Demonstrate core clinical and interpersonal skills required of all physicians
essential to effective medical problem solving, communication, and lifelong
learning. ",Medicine,2015-2016,3,1/11/16,6/10/16,In Progress
